
slice_file_name	start	end	fold	classID	class
Ondorhaan.wav	0.000	3.000	1	0	amisgal
Ondorhaan 2.wav	0.000	3.500	1	1	haniad
Ondorhaan 3.wav	0.000	3.000	1	0	amisgal
Ondorhaan 4.wav	0.000	3.500	1	1	haniad
Ondorhaan 5.wav	0.000	3.000	1	0	amisgal
Ondorhaan 6.wav	0.000	3.500	1	1	haniad
Ondorhaan 7.wav	0.000	3.000	1	0	amisgal
Ondorhaan 8.wav	0.000	3.500	1	1	haniad
Ondorhaan 9.wav	0.000	3.000	1	0	amisgal
Ondorhaan 10.wav	0.000	3.500	1	1	haniad
Ondorhaan 11.wav	0.000	3.000	1	0	amisgal
Ondorhaan 12.wav	0.000	3.500	1	1	haniad
